"rt","Q0","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","stimulus","questions","risky","colour","side","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"56027","4","2","1","6","0","1","1","1","5","1","red-51","7,3,5,9,8,0,2,4,6,1","safe","red","right","survey-likert","123","840322","0.0-4.0-0.0","69","low"
"47072","1","5","0","1","1","5","3","1","2","5","blue-127","7,3,5,9,8,0,2,4,6,1","risky","blue","left","survey-likert","124","889401","0.0-4.0-0.1","69","low"
