"rt","Q0","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","stimulus","questions","risky","colour","side","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"82823","6","1","1","1","5","1","5","6","5","2","blue-149","1,3,0,9,7,8,6,5,4,2","safe","blue","right","survey-likert","117","705950","0.0-4.0-0.0","74","high"
"62933","5","6","6","1","5","1","1","1","1","5","red-210","1,3,0,9,7,8,6,5,4,2","risky","red","left","survey-likert","118","770889","0.0-4.0-0.1","74","high"
