rt,Q0,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,stimulus,questions,risky,colour,side,trial_type,trial_index,time_elapsed,internal_node_id,participant,condition
90882,4,4,4,2,2,2,2,2,4,4,red-172,"0,8,6,3,2,1,4,5,9,7",risky,red,left,survey-likert,114,1018547,0.0-4.0-0.0,120,high
28018,2,4,4,2,2,2,3,4,4,4,blue-124,"0,8,6,3,2,1,4,5,9,7",safe,blue,right,survey-likert,115,1048555,0.0-4.0-0.1,120,high
