"rt","Q0","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","stimulus","questions","risky","colour","side","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"92704","1","0","4","6","5","0","6","2","1","1","blue-98","8,2,9,5,4,1,6,7,0,3","safe","blue","right","survey-likert","114","626472","0.0-4.0-0.0","82","low"
"60031","1","1","0","3","0","6","0","1","5","6","red-165","8,2,9,5,4,1,6,7,0,3","risky","red","left","survey-likert","115","688508","0.0-4.0-0.1","82","low"
