"rt","Q0","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","stimulus","questions","risky","colour","side","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"56242","4","2","5","1","6","5","1","4","3","5","blue-57","4,1,7,0,9,5,2,8,3,6","safe","blue","right","survey-likert","114","751518","0.0-4.0-0.0","84","high"
"40768","2","4","2","4","4","3","3","4","4","2","red-171","4,1,7,0,9,5,2,8,3,6","risky","red","left","survey-likert","115","794292","0.0-4.0-0.1","84","high"
