"rt","Q0","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","stimulus","questions","risky","colour","side","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"138994","2","3","3","1","5","5","5","5","3","1","blue-217","4,0,7,5,3,8,9,6,2,1","risky","blue","right","survey-likert","117","868615","0.0-4.0-0.0","107","high"
"73673","6","1","6","5","3","5","5","5","3","0","red-66","4,0,7,5,3,8,9,6,2,1","safe","red","left","survey-likert","118","944293","0.0-4.0-0.1","107","high"
