"rt","Q0","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","stimulus","questions","risky","colour","side","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"116633","2","2","3","1","4","2","2","5","4","3","red-78","5,7,9,0,2,4,1,8,3,6","safe","red","right","survey-likert","120","1012380","0.0-4.0-0.0","51","high"
"65192","2","2","4","4","3","2","4","5","4","3","blue-64","5,7,9,0,2,4,1,8,3,6","risky","blue","left","survey-likert","121","1079578","0.0-4.0-0.1","51","high"
