"rt","Q0","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","stimulus","questions","risky","colour","side","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"59875","1","6","6","1","6","1","5","5","5","1","blue-207","2,9,7,3,5,0,4,8,6,1","safe","blue","right","survey-likert","120","645071","0.0-4.0-0.0","10","high"
"48844","5","1","3","5","1","5","1","1","1","5","red-218","2,9,7,3,5,0,4,8,6,1","risky","red","left","survey-likert","121","695921","0.0-4.0-0.1","10","high"
