"rt","Q0","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","stimulus","questions","risky","colour","side","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"56208","3","4","1","5","3","2","1","5","5","5","red-190","6,3,2,7,9,1,0,4,8,5","safe","red","right","survey-likert","117","488562","0.0-4.0-0.0","15","high"
"31739","1","0","6","1","1","5","5","1","1","1","blue-25","6,3,2,7,9,1,0,4,8,5","risky","blue","left","survey-likert","118","522306","0.0-4.0-0.1","15","high"
