"rt","Q0","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","stimulus","questions","risky","colour","side","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"56532","1","2","5","2","4","5","4","1","1","3","blue-156","9,5,1,8,3,0,2,7,6,4","risky","blue","right","survey-likert","114","558305","0.0-4.0-0.0","16","high"
"41123","5","5","2","3","4","4","4","5","4","5","red-214","9,5,1,8,3,0,2,7,6,4","safe","red","left","survey-likert","115","601433","0.0-4.0-0.1","16","high"
