"rt","Q0","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","stimulus","questions","risky","colour","side","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"69684","2","3","3","4","5","3","4","2","3","4","red-215","8,2,3,6,9,5,7,1,4,0","safe","red","right","survey-likert","120","995334","0.0-4.0-0.0","97","low"
"32569","2","4","4","5","5","4","4","2","3","4","blue-150","8,2,3,6,9,5,7,1,4,0","risky","blue","left","survey-likert","121","1029909","0.0-4.0-0.1","97","low"
