"rt","Q0","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","stimulus","questions","risky","colour","side","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"71011","4","2","1","4","2","4","4","5","1","2","blue-97","9,6,7,5,2,3,8,4,0,1","safe","blue","right","survey-likert","114","535302","0.0-4.0-0.0","31","low"
"57702","1","2","2","4","2","5","3","2","5","4","red-212","9,6,7,5,2,3,8,4,0,1","risky","red","left","survey-likert","115","595009","0.0-4.0-0.1","31","low"
