"rt","Q0","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","stimulus","questions","risky","colour","side","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"62903","5","1","1","1","0","1","2","3","1","1","blue-110","7,1,3,0,6,8,4,2,9,5","safe","blue","right","survey-likert","114","654138","0.0-4.0-0.0","78","high"
"42730","1","4","5","4","2","3","3","3","5","3","red-78","7,1,3,0,6,8,4,2,9,5","risky","red","left","survey-likert","115","698874","0.0-4.0-0.1","78","high"
