"rt","Q0","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","stimulus","questions","risky","colour","side","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"60203","5","5","1","3","2","1","6","5","1","2","red-181","3,0,6,8,9,4,2,1,7,5","risky","red","left","survey-likert","117","559000","0.0-4.0-0.0","35","low"
"52210","1","2","4","4","5","5","1","2","4","4","blue-149","3,0,6,8,9,4,2,1,7,5","safe","blue","right","survey-likert","118","613224","0.0-4.0-0.1","35","low"
