"rt","Q0","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","stimulus","questions","risky","colour","side","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"79099","0","5","5","1","1","4","0","0","1","4","blue-135","8,5,9,4,1,7,0,2,3,6","risky","blue","left","survey-likert","126","960094","0.0-4.0-0.0","7","high"
"50560","0","4","4","3","0","1","2","0","4","0","red-11","8,5,9,4,1,7,0,2,3,6","safe","red","right","survey-likert","127","1012659","0.0-4.0-0.1","7","high"
