"rt","Q0","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","stimulus","questions","risky","colour","side","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"62653","6","5","4","1","1","5","5","2","1","2","red-26","1,7,0,5,9,3,2,6,8,4","safe","red","right","survey-likert","117","588367","0.0-4.0-0.0","58","high"
"37128","6","5","5","5","4","3","2","2","2","2","blue-74","1,7,0,5,9,3,2,6,8,4","risky","blue","left","survey-likert","118","627500","0.0-4.0-0.1","58","high"
