"rt","Q0","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","stimulus","questions","risky","colour","side","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"70510","4","2","6","4","5","1","5","1","2","2","red-187","6,0,8,4,9,3,5,1,2,7","safe","red","left","survey-likert","114","648681","0.0-4.0-0.0","92","high"
"51850","3","5","6","4","5","5","5","4","5","1","blue-199","6,0,8,4,9,3,5,1,2,7","risky","blue","right","survey-likert","115","702536","0.0-4.0-0.1","92","high"
