"rt","Q0","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","stimulus","questions","risky","colour","side","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"90105","4","4","3","1","1","0","1","4","5","3","red-46","9,5,6,1,0,8,2,3,7,4","safe","red","right","survey-likert","114","812227","0.0-4.0-0.0","44","high"
"31338","0","0","0","6","5","3","5","5","6","1","blue-140","9,5,6,1,0,8,2,3,7,4","risky","blue","left","survey-likert","115","845571","0.0-4.0-0.1","44","high"
