"round_number","sampling_type","mean","safe_value","choice","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","fixed","33","13","2","blue-80","blue","3943","choice-task","29","1824458","0.0-5.0-1.0-0.0","66","5rgmgp5k","high"
"2","free","50","30","2","red-104","red","2766","choice-task","32","1893666","0.0-5.0-1.1-0.1","66","5rgmgp5k","high"
"3","fixed","98","118","1","green-197","green","6462","choice-task","44","1963376","0.0-5.0-1.2-0.2","66","5rgmgp5k","high"
"4","free","15","15","2","purple-58","purple","7718","choice-task","69","2053510","0.0-5.0-1.3-0.3","66","5rgmgp5k","high"
"5","fixed","73","73","1","yellow-212","yellow","3207","choice-task","76","2085374","0.0-5.0-1.4-0.4","66","5rgmgp5k","high"
"6","free","116","136","2","orange-20","orange","4070","choice-task","84","2133142","0.0-5.0-1.5-0.5","66","5rgmgp5k","high"
