"round_number","sampling_type","mean","safe_value","choice","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","fixed","93","113","1","yellow-178","yellow","7542","choice-task","16","798270","0.0-5.0-1.0-0.0","82","40zjl65y","high"
"2","free","32","52","1","green-14","green","3814","choice-task","50","929426","0.0-5.0-1.1-0.1","82","40zjl65y","high"
"3","fixed","15","-5","2","red-185","red","7685","choice-task","72","1033517","0.0-5.0-1.2-0.2","82","40zjl65y","high"
"4","free","53","33","2","orange-187","orange","1478","choice-task","93","1090722","0.0-5.0-1.3-0.3","82","40zjl65y","high"
"5","fixed","78","78","1","blue-54","blue","1901","choice-task","100","1128634","0.0-5.0-1.4-0.4","82","40zjl65y","high"
"6","free","111","111","2","purple-65","purple","4014","choice-task","115","1176608","0.0-5.0-1.5-0.5","82","40zjl65y","high"
