"round_number","sampling_type","mean","safe_value","choice","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","fixed","13","-7","2","orange-199","orange","7086","choice-task","16","421568","0.0-5.0-1.0-0.0","105","vdzmo9gj","high"
"2","free","73","93","1","green-147","green","8510","choice-task","35","512693","0.0-5.0-1.1-0.1","105","vdzmo9gj","high"
"3","fixed","57","77","2","purple-157","purple","1526","choice-task","57","583572","0.0-5.0-1.2-0.2","105","vdzmo9gj","high"
"4","free","111","111","2","blue-68","blue","2646","choice-task","67","621690","0.0-5.0-1.3-0.3","105","vdzmo9gj","high"
"5","fixed","33","33","2","yellow-142","yellow","1031","choice-task","74","650098","0.0-5.0-1.4-0.4","105","vdzmo9gj","high"
"6","free","94","74","2","red-39","red","1637","choice-task","103","717553","0.0-5.0-1.5-0.5","105","vdzmo9gj","high"
