"round_number","sampling_type","mean","safe_value","choice","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","fixed","79","59","2","yellow-63","yellow","6374","choice-task","20","465448","0.0-5.0-1.0-0.0","52","rvf4lpsa","high"
"2","free","119","99","2","green-209","green","3207","choice-task","25","511616","0.0-5.0-1.1-0.1","52","rvf4lpsa","high"
"3","fixed","17","17","2","purple-60","purple","6062","choice-task","37","562735","0.0-5.0-1.2-0.2","52","rvf4lpsa","high"
"4","free","51","71","1","orange-146","orange","6431","choice-task","43","611447","0.0-5.0-1.3-0.3","52","rvf4lpsa","high"
"5","fixed","93","113","2","blue-45","blue","7550","choice-task","65","680710","0.0-5.0-1.4-0.4","52","rvf4lpsa","high"
"6","free","32","32","1","red-169","red","3902","choice-task","76","722421","0.0-5.0-1.5-0.5","52","rvf4lpsa","high"
