"round_number","sampling_type","mean","safe_value","choice","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","fixed","96","96","2","red-191","red","8845","choice-task","26","1154244","0.0-5.0-1.0-0.0","113","ac4msxxn","high"
"2","free","79","59","2","orange-99","orange","6597","choice-task","70","1316491","0.0-5.0-1.1-0.1","113","ac4msxxn","high"
"3","fixed","111","91","2","blue-121","blue","5533","choice-task","77","1361724","0.0-5.0-1.2-0.2","113","ac4msxxn","high"
"4","free","34","34","1","yellow-97","yellow","4014","choice-task","106","1434784","0.0-5.0-1.3-0.3","113","ac4msxxn","high"
"5","fixed","58","78","1","green-9","green","5157","choice-task","118","1475007","0.0-5.0-1.4-0.4","113","ac4msxxn","high"
"6","free","16","36","1","purple-166","purple","2109","choice-task","154","1539316","0.0-5.0-1.5-0.5","113","ac4msxxn","high"
