"round_number","sampling_type","mean","safe_value","choice","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","fixed","90","90","1","orange-207","orange","3054","choice-task","11","235620","0.0-5.0-1.0-0.0","35","aubxk928","high"
"2","free","14","-6","2","yellow-27","yellow","2390","choice-task","46","341707","0.0-5.0-1.1-0.1","35","aubxk928","high"
"3","fixed","55","75","1","red-11","red","5798","choice-task","68","401562","0.0-5.0-1.2-0.2","35","aubxk928","high"
"4","free","32","52","2","green-154","green","1693","choice-task","93","463217","0.0-5.0-1.3-0.3","35","aubxk928","high"
"5","fixed","72","52","2","purple-138","purple","2605","choice-task","105","501640","0.0-5.0-1.4-0.4","35","aubxk928","high"
"6","free","118","118","1","blue-145","blue","1350","choice-task","132","551144","0.0-5.0-1.5-0.5","35","aubxk928","high"
