"round_number","sampling_type","mean","safe_value","choice","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","fixed","90","70","2","green-197","green","13950","choice-task","26","435892","0.0-5.0-1.0-0.0","63","fd8wv17e","high"
"2","free","119","139","2","red-130","red","767","choice-task","31","503955","0.0-5.0-1.1-0.1","63","fd8wv17e","high"
"3","fixed","78","98","1","orange-177","orange","1510","choice-task","38","542217","0.0-5.0-1.2-0.2","63","fd8wv17e","high"
"4","free","51","31","2","yellow-195","yellow","6709","choice-task","51","589752","0.0-5.0-1.3-0.3","63","fd8wv17e","high"
"5","fixed","14","14","1","purple-17","purple","1031","choice-task","63","629528","0.0-5.0-1.4-0.4","63","fd8wv17e","high"
"6","free","32","32","1","blue-119","blue","1063","choice-task","83","683286","0.0-5.0-1.5-0.5","63","fd8wv17e","high"
