"round_number","sampling_type","mean","safe_value","choice","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","fixed","112","92","2","yellow-62","yellow","3350","choice-task","11","276503","0.0-5.0-1.0-0.0","42","g8dvekcv","high"
"2","free","91","71","2","green-106","green","3630","choice-task","14","337158","0.0-5.0-1.1-0.1","42","g8dvekcv","high"
"3","fixed","75","95","1","orange-65","orange","1894","choice-task","26","468501","0.0-5.0-1.2-0.2","42","g8dvekcv","high"
"4","free","35","55","1","blue-158","blue","7686","choice-task","41","540709","0.0-5.0-1.3-0.3","42","g8dvekcv","high"
"5","fixed","57","57","2","purple-52","purple","8517","choice-task","63","615860","0.0-5.0-1.4-0.4","42","g8dvekcv","high"
"6","free","19","19","1","red-125","red","4742","choice-task","76","674541","0.0-5.0-1.5-0.5","42","g8dvekcv","high"
