"round_number","sampling_type","mean","safe_value","choice","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","fixed","110","130","1","red-108","red","26149","choice-task","16","295691","0.0-5.0-1.0-0.0","36","prlq4fpk","low"
"2","free","13","-7","2","yellow-191","yellow","1646","choice-task","57","433497","0.0-5.0-1.1-0.1","36","prlq4fpk","low"
"3","fixed","92","72","2","purple-124","purple","4606","choice-task","79","537575","0.0-5.0-1.2-0.2","36","prlq4fpk","low"
"4","free","34","34","1","orange-72","orange","6262","choice-task","101","602855","0.0-5.0-1.3-0.3","36","prlq4fpk","low"
"5","fixed","55","55","2","green-179","green","2261","choice-task","108","631535","0.0-5.0-1.4-0.4","36","prlq4fpk","low"
"6","free","76","96","1","blue-84","blue","2173","choice-task","131","690438","0.0-5.0-1.5-0.5","36","prlq4fpk","low"
