"round_number","sampling_type","mean","safe_value","choice","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","fixed","76","56","2","blue-7","blue","1766","choice-task","26","333321","0.0-5.0-1.0-0.0","54","xxz6os7d","high"
"2","free","39","39","2","orange-60","orange","5366","choice-task","49","394510","0.0-5.0-1.1-0.1","54","xxz6os7d","high"
"3","fixed","90","110","1","red-191","red","4862","choice-task","56","441498","0.0-5.0-1.2-0.2","54","xxz6os7d","high"
"4","free","55","35","2","yellow-178","yellow","1670","choice-task","76","486247","0.0-5.0-1.3-0.3","54","xxz6os7d","high"
"5","fixed","19","19","2","green-199","green","2086","choice-task","88","517743","0.0-5.0-1.4-0.4","54","xxz6os7d","high"
"6","free","111","131","1","purple-22","purple","2790","choice-task","112","563964","0.0-5.0-1.5-0.5","54","xxz6os7d","high"
