"round_number","sampling_type","mean","safe_value","choice","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","fixed","15","35","1","purple-56","purple","21330","choice-task","26","722145","0.0-5.0-1.0-0.0","39","0g4d30wf","high"
"2","free","91","111","1","blue-66","blue","12583","choice-task","29","836437","0.0-5.0-1.1-0.1","39","0g4d30wf","high"
"3","fixed","30","10","2","yellow-13","yellow","7294","choice-task","41","914301","0.0-5.0-1.2-0.2","39","0g4d30wf","high"
"4","free","74","74","1","orange-60","orange","11486","choice-task","78","1040181","0.0-5.0-1.3-0.3","39","0g4d30wf","high"
"5","fixed","111","111","1","green-41","green","17270","choice-task","85","1105210","0.0-5.0-1.4-0.4","39","0g4d30wf","high"
"6","free","59","39","2","red-163","red","4302","choice-task","113","1193974","0.0-5.0-1.5-0.5","39","0g4d30wf","high"
