"round_number","sampling_type","mean","safe_value","choice","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","fixed","111","91","2","orange-109","orange","9510","choice-task","16","1459193","0.0-5.0-1.0-0.0","74","8jbvdvk2","low"
"2","free","19","39","1","blue-12","blue","3613","choice-task","45","1595842","0.0-5.0-1.1-0.1","74","8jbvdvk2","low"
"3","fixed","50","70","1","green-27","green","1821","choice-task","52","1653290","0.0-5.0-1.2-0.2","74","8jbvdvk2","low"
"4","free","93","93","1","yellow-115","yellow","3398","choice-task","78","1723190","0.0-5.0-1.3-0.3","74","8jbvdvk2","low"
"5","fixed","34","34","1","purple-168","purple","2110","choice-task","100","1787214","0.0-5.0-1.4-0.4","74","8jbvdvk2","low"
"6","free","71","51","2","red-187","red","1117","choice-task","124","1844816","0.0-5.0-1.5-0.5","74","8jbvdvk2","low"
