"round_number","sampling_type","mean","safe_value","choice","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","fixed","96","76","2","blue-180","blue","4206","choice-task","11","952638","0.0-5.0-1.0-0.0","58","eg20uc0t","low"
"2","free","36","36","2","green-86","green","8246","choice-task","71","1132361","0.0-5.0-1.1-0.1","58","eg20uc0t","low"
"3","fixed","19","19","1","orange-143","orange","1382","choice-task","93","1194759","0.0-5.0-1.2-0.2","58","eg20uc0t","low"
"4","free","75","95","1","yellow-137","yellow","1389","choice-task","136","1314445","0.0-5.0-1.3-0.3","58","eg20uc0t","low"
"5","fixed","116","136","1","red-32","red","13021","choice-task","148","1366492","0.0-5.0-1.4-0.4","58","eg20uc0t","low"
"6","free","54","34","2","purple-1","purple","2325","choice-task","192","1458747","0.0-5.0-1.5-0.5","58","eg20uc0t","low"
