"round_number","sampling_type","mean","safe_value","choice","stimulus","stimulus_colour","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"1","fixed","15","-5","2","orange-200","orange","18020","choice-task","11","310575","0.0-5.0-1.0-0.0","86","9pn2vmqg","high"
"2","free","113","113","1","blue-81","blue","8950","choice-task","29","373109","0.0-5.0-1.1-0.1","86","9pn2vmqg","high"
"3","fixed","50","70","1","yellow-2","yellow","2253","choice-task","51","423716","0.0-5.0-1.2-0.2","86","9pn2vmqg","high"
"4","free","34","14","2","green-129","green","1374","choice-task","66","467162","0.0-5.0-1.3-0.3","86","9pn2vmqg","high"
"5","fixed","90","90","2","purple-167","purple","1398","choice-task","78","502018","0.0-5.0-1.4-0.4","86","9pn2vmqg","high"
"6","free","72","92","1","red-36","red","4437","choice-task","101","547857","0.0-5.0-1.5-0.5","86","9pn2vmqg","high"
