"trial","choice","feedback","left_stimulus","right_stimulus","left_option","right_option","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"1","safe","50","red-215","blue-8","risky","safe","4241","bandit-task","7","356155","0.0-3.0-0.0","95","low"
"2","risky","75","red-215","blue-8","risky","safe","1598","bandit-task","8","360531","0.0-3.0-0.1","95","low"
"3","risky","30","red-215","blue-8","risky","safe","750","bandit-task","9","363675","0.0-3.0-0.2","95","low"
"4","risky","32","red-215","blue-8","risky","safe","1382","bandit-task","10","367723","0.0-3.0-0.3","95","low"
"5","safe","49","red-215","blue-8","risky","safe","606","bandit-task","11","371155","0.0-3.0-0.4","95","low"
"6","risky","58","red-215","blue-8","risky","safe","2030","bandit-task","12","375691","0.0-3.0-0.5","95","low"
"7","risky","29","red-215","blue-8","risky","safe","630","bandit-task","13","378979","0.0-3.0-0.6","95","low"
"8","safe","50","red-215","blue-8","risky","safe","974","bandit-task","14","382819","0.0-3.0-0.7","95","low"
"9","safe","50","red-215","blue-8","risky","safe","670","bandit-task","15","385850","0.0-3.0-0.8","95","low"
"10","safe","50","red-215","blue-8","risky","safe","727","bandit-task","16","389019","0.0-3.0-0.9","95","low"
"11","risky","69","red-215","blue-8","risky","safe","622","bandit-task","17","392675","0.0-3.0-0.10","95","low"
"12","safe","49","red-215","blue-8","risky","safe","1367","bandit-task","18","396515","0.0-3.0-0.11","95","low"
"13","risky","78","red-215","blue-8","risky","safe","975","bandit-task","19","400170","0.0-3.0-0.12","95","low"
"14","risky","71","red-215","blue-8","risky","safe","775","bandit-task","20","403610","0.0-3.0-0.13","95","low"
"15","risky","70","red-215","blue-8","risky","safe","631","bandit-task","21","406946","0.0-3.0-0.14","95","low"
"16","risky","33","red-215","blue-8","risky","safe","926","bandit-task","22","410474","0.0-3.0-0.15","95","low"
"17","safe","50","red-215","blue-8","risky","safe","1119","bandit-task","23","414163","0.0-3.0-0.16","95","low"
"18","safe","49","red-215","blue-8","risky","safe","679","bandit-task","24","417275","0.0-3.0-0.17","95","low"
"19","risky","34","red-215","blue-8","risky","safe","814","bandit-task","25","420587","0.0-3.0-0.18","95","low"
"20","safe","52","red-215","blue-8","risky","safe","709","bandit-task","26","424763","0.0-3.0-0.19","95","low"
"21","risky","27","red-215","blue-8","risky","safe","1886","bandit-task","27","429507","0.0-3.0-0.20","95","low"
"22","safe","49","red-215","blue-8","risky","safe","1174","bandit-task","28","433187","0.0-3.0-0.21","95","low"
"23","safe","49","red-215","blue-8","risky","safe","710","bandit-task","29","436275","0.0-3.0-0.22","95","low"
"24","safe","51","red-215","blue-8","risky","safe","654","bandit-task","30","439483","0.0-3.0-0.23","95","low"
"25","safe","49","red-215","blue-8","risky","safe","758","bandit-task","31","443195","0.0-3.0-0.24","95","low"
"26","risky","47","red-215","blue-8","risky","safe","750","bandit-task","32","446323","0.0-3.0-0.25","95","low"
"27","safe","51","red-215","blue-8","risky","safe","678","bandit-task","33","449563","0.0-3.0-0.26","95","low"
"28","safe","50","red-215","blue-8","risky","safe","1326","bandit-task","34","453355","0.0-3.0-0.27","95","low"
"29","safe","49","red-215","blue-8","risky","safe","782","bandit-task","35","457179","0.0-3.0-0.28","95","low"
"30","risky","75","red-215","blue-8","risky","safe","902","bandit-task","36","460827","0.0-3.0-0.29","95","low"
"31","risky","89","red-215","blue-8","risky","safe","614","bandit-task","37","464099","0.0-3.0-0.30","95","low"
"32","risky","66","red-215","blue-8","risky","safe","534","bandit-task","38","467307","0.0-3.0-0.31","95","low"
"33","safe","49","red-215","blue-8","risky","safe","575","bandit-task","39","470522","0.0-3.0-0.32","95","low"
"34","risky","78","red-215","blue-8","risky","safe","822","bandit-task","40","473946","0.0-3.0-0.33","95","low"
"35","risky","69","red-215","blue-8","risky","safe","1263","bandit-task","41","477762","0.0-3.0-0.34","95","low"
"36","safe","52","red-215","blue-8","risky","safe","1287","bandit-task","42","481634","0.0-3.0-0.35","95","low"
"37","risky","36","red-215","blue-8","risky","safe","791","bandit-task","43","485258","0.0-3.0-0.36","95","low"
"38","risky","71","red-215","blue-8","risky","safe","733","bandit-task","44","488562","0.0-3.0-0.37","95","low"
"39","risky","35","red-215","blue-8","risky","safe","678","bandit-task","45","491650","0.0-3.0-0.38","95","low"
"40","safe","50","red-215","blue-8","risky","safe","718","bandit-task","46","494914","0.0-3.0-0.39","95","low"
"41","safe","49","red-215","blue-8","risky","safe","854","bandit-task","47","498266","0.0-3.0-0.40","95","low"
"42","risky","56","red-215","blue-8","risky","safe","845","bandit-task","48","502138","0.0-3.0-0.41","95","low"
"43","risky","73","red-215","blue-8","risky","safe","605","bandit-task","49","505346","0.0-3.0-0.42","95","low"
"44","risky","63","red-215","blue-8","risky","safe","790","bandit-task","50","508898","0.0-3.0-0.43","95","low"
"45","risky","25","red-215","blue-8","risky","safe","814","bandit-task","51","512330","0.0-3.0-0.44","95","low"
"46","safe","51","red-215","blue-8","risky","safe","798","bandit-task","52","515546","0.0-3.0-0.45","95","low"
"47","safe","50","red-215","blue-8","risky","safe","710","bandit-task","53","519402","0.0-3.0-0.46","95","low"
"48","safe","49","red-215","blue-8","risky","safe","822","bandit-task","54","522674","0.0-3.0-0.47","95","low"
"49","risky","64","red-215","blue-8","risky","safe","678","bandit-task","55","526306","0.0-3.0-0.48","95","low"
"50","risky","68","red-215","blue-8","risky","safe","806","bandit-task","56","529554","0.0-3.0-0.49","95","low"
"51","risky","19","red-215","blue-8","risky","safe","1079","bandit-task","57","533689","0.0-3.0-0.50","95","low"
"52","safe","51","red-215","blue-8","risky","safe","1351","bandit-task","58","537655","0.0-3.0-0.51","95","low"
"53","safe","50","red-215","blue-8","risky","safe","663","bandit-task","59","540823","0.0-3.0-0.52","95","low"
"54","risky","26","red-215","blue-8","risky","safe","1191","bandit-task","60","544911","0.0-3.0-0.53","95","low"
"55","safe","50","red-215","blue-8","risky","safe","838","bandit-task","61","548415","0.0-3.0-0.54","95","low"
"56","safe","52","red-215","blue-8","risky","safe","582","bandit-task","62","551399","0.0-3.0-0.55","95","low"
"57","safe","51","red-215","blue-8","risky","safe","774","bandit-task","63","555391","0.0-3.0-0.56","95","low"
"58","safe","49","red-215","blue-8","risky","safe","686","bandit-task","64","558935","0.0-3.0-0.57","95","low"
"59","safe","51","red-215","blue-8","risky","safe","622","bandit-task","65","562703","0.0-3.0-0.58","95","low"
"60","risky","19","red-215","blue-8","risky","safe","526","bandit-task","66","565839","0.0-3.0-0.59","95","low"
"61","safe","50","red-215","blue-8","risky","safe","774","bandit-task","67","569399","0.0-3.0-0.60","95","low"
"62","safe","50","red-215","blue-8","risky","safe","814","bandit-task","68","572615","0.0-3.0-0.61","95","low"
"63","safe","51","red-215","blue-8","risky","safe","614","bandit-task","69","575775","0.0-3.0-0.62","95","low"
"64","safe","50","red-215","blue-8","risky","safe","590","bandit-task","70","578895","0.0-3.0-0.63","95","low"
"65","risky","33","red-215","blue-8","risky","safe","838","bandit-task","71","583134","0.0-3.0-0.64","95","low"
"66","safe","49","red-215","blue-8","risky","safe","574","bandit-task","72","586295","0.0-3.0-0.65","95","low"
"67","safe","49","red-215","blue-8","risky","safe","590","bandit-task","73","589287","0.0-3.0-0.66","95","low"
"68","safe","47","red-215","blue-8","risky","safe","566","bandit-task","74","592343","0.0-3.0-0.67","95","low"
"69","safe","49","red-215","blue-8","risky","safe","790","bandit-task","75","596390","0.0-3.0-0.68","95","low"
"70","safe","52","red-215","blue-8","risky","safe","678","bandit-task","76","599517","0.0-3.0-0.69","95","low"
"71","safe","51","red-215","blue-8","risky","safe","550","bandit-task","77","602525","0.0-3.0-0.70","95","low"
"72","safe","50","red-215","blue-8","risky","safe","654","bandit-task","78","605996","0.0-3.0-0.71","95","low"
"73","safe","49","red-215","blue-8","risky","safe","687","bandit-task","79","609173","0.0-3.0-0.72","95","low"
"74","safe","50","red-215","blue-8","risky","safe","518","bandit-task","80","612469","0.0-3.0-0.73","95","low"
"75","safe","50","red-215","blue-8","risky","safe","550","bandit-task","81","615461","0.0-3.0-0.74","95","low"
"76","safe","51","red-215","blue-8","risky","safe","614","bandit-task","82","618573","0.0-3.0-0.75","95","low"
"77","safe","51","red-215","blue-8","risky","safe","646","bandit-task","83","621964","0.0-3.0-0.76","95","low"
"78","safe","50","red-215","blue-8","risky","safe","598","bandit-task","84","625012","0.0-3.0-0.77","95","low"
"79","safe","50","red-215","blue-8","risky","safe","750","bandit-task","85","628404","0.0-3.0-0.78","95","low"
"80","safe","50","red-215","blue-8","risky","safe","806","bandit-task","86","631988","0.0-3.0-0.79","95","low"
"81","safe","49","red-215","blue-8","risky","safe","734","bandit-task","87","635292","0.0-3.0-0.80","95","low"
"82","safe","50","red-215","blue-8","risky","safe","974","bandit-task","88","639004","0.0-3.0-0.81","95","low"
"83","safe","51","red-215","blue-8","risky","safe","805","bandit-task","89","643252","0.0-3.0-0.82","95","low"
"84","safe","48","red-215","blue-8","risky","safe","798","bandit-task","90","646788","0.0-3.0-0.83","95","low"
"85","risky","81","red-215","blue-8","risky","safe","1014","bandit-task","91","650404","0.0-3.0-0.84","95","low"
"86","risky","78","red-215","blue-8","risky","safe","725","bandit-task","92","653644","0.0-3.0-0.85","95","low"
"87","risky","65","red-215","blue-8","risky","safe","630","bandit-task","93","656892","0.0-3.0-0.86","95","low"
"88","risky","65","red-215","blue-8","risky","safe","646","bandit-task","94","660581","0.0-3.0-0.87","95","low"
"89","risky","61","red-215","blue-8","risky","safe","573","bandit-task","95","663517","0.0-3.0-0.88","95","low"
"90","risky","59","red-215","blue-8","risky","safe","526","bandit-task","96","666597","0.0-3.0-0.89","95","low"
"91","risky","80","red-215","blue-8","risky","safe","534","bandit-task","97","670109","0.0-3.0-0.90","95","low"
"92","risky","31","red-215","blue-8","risky","safe","654","bandit-task","98","673380","0.0-3.0-0.91","95","low"
"93","safe","51","red-215","blue-8","risky","safe","446","bandit-task","99","676349","0.0-3.0-0.92","95","low"
"94","safe","49","red-215","blue-8","risky","safe","621","bandit-task","100","679996","0.0-3.0-0.93","95","low"
"95","risky","35","red-215","blue-8","risky","safe","870","bandit-task","101","683452","0.0-3.0-0.94","95","low"
"96","safe","52","red-215","blue-8","risky","safe","646","bandit-task","102","686589","0.0-3.0-0.95","95","low"
"97","safe","50","red-215","blue-8","risky","safe","726","bandit-task","103","689700","0.0-3.0-0.96","95","low"
"98","safe","53","red-215","blue-8","risky","safe","686","bandit-task","104","693076","0.0-3.0-0.97","95","low"
"99","safe","50","red-215","blue-8","risky","safe","686","bandit-task","105","696308","0.0-3.0-0.98","95","low"
"100","safe","50","red-215","blue-8","risky","safe","613","bandit-task","106","699244","0.0-3.0-0.99","95","low"
"101","safe","49","red-215","blue-8","risky","safe","702","bandit-task","107","702668","0.0-3.0-0.100","95","low"
"102","risky","61","red-215","blue-8","risky","safe","789","bandit-task","108","709244","0.0-3.0-0.101","95","low"
"103","risky","72","red-215","blue-8","risky","safe","750","bandit-task","109","712340","0.0-3.0-0.102","95","low"
"104","risky","28","red-215","blue-8","risky","safe","622","bandit-task","110","715508","0.0-3.0-0.103","95","low"
