"trial","choice","feedback","left_stimulus","right_stimulus","left_option","right_option","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"1","risky","68","blue-216","red-10","risky","safe","3185","bandit-task","7","315747","0.0-3.0-0.0","90","high"
"2","safe","48","blue-153","red-150","risky","safe","8038","bandit-task","8","327187","0.0-3.0-0.1","90","high"
"3","risky","30","blue-192","red-108","risky","safe","3646","bandit-task","9","333963","0.0-3.0-0.2","90","high"
"4","safe","51","blue-145","red-207","risky","safe","4179","bandit-task","10","341808","0.0-3.0-0.3","90","high"
"5","safe","50","blue-205","red-127","risky","safe","3462","bandit-task","11","349632","0.0-3.0-0.4","90","high"
"6","risky","28","blue-118","red-215","risky","safe","2494","bandit-task","12","356152","0.0-3.0-0.5","90","high"
"7","risky","57","blue-195","red-70","risky","safe","2598","bandit-task","13","365088","0.0-3.0-0.6","90","high"
"8","safe","48","blue-80","red-62","risky","safe","4621","bandit-task","14","374592","0.0-3.0-0.7","90","high"
"9","risky","44","blue-2","red-65","risky","safe","1806","bandit-task","15","379992","0.0-3.0-0.8","90","high"
"10","safe","48","blue-36","red-206","risky","safe","1326","bandit-task","16","384288","0.0-3.0-0.9","90","high"
"11","risky","71","blue-140","red-69","risky","safe","3062","bandit-task","17","390912","0.0-3.0-0.10","90","high"
"12","safe","49","blue-111","red-131","risky","safe","1798","bandit-task","18","395488","0.0-3.0-0.11","90","high"
"13","risky","33","blue-54","red-202","risky","safe","1230","bandit-task","19","399817","0.0-3.0-0.12","90","high"
"14","risky","61","blue-167","red-130","risky","safe","1686","bandit-task","20","404377","0.0-3.0-0.13","90","high"
"15","risky","53","blue-110","red-124","risky","safe","2382","bandit-task","21","410073","0.0-3.0-0.14","90","high"
"16","risky","45","blue-189","red-9","risky","safe","1454","bandit-task","22","414745","0.0-3.0-0.15","90","high"
"17","safe","51","blue-23","red-194","risky","safe","5542","bandit-task","23","423641","0.0-3.0-0.16","90","high"
"18","safe","50","blue-107","red-48","risky","safe","2494","bandit-task","24","429737","0.0-3.0-0.17","90","high"
"19","risky","65","blue-31","red-13","risky","safe","2406","bandit-task","25","435160","0.0-3.0-0.18","90","high"
"20","safe","51","blue-105","red-151","risky","safe","4358","bandit-task","26","448840","0.0-3.0-0.19","90","high"
"21","risky","77","blue-49","red-103","risky","safe","10614","bandit-task","27","463561","0.0-3.0-0.20","90","high"
"22","risky","45","blue-95","red-58","risky","safe","3590","bandit-task","28","470289","0.0-3.0-0.21","90","high"
"23","risky","28","blue-93","red-129","risky","safe","1950","bandit-task","29","474961","0.0-3.0-0.22","90","high"
"24","safe","49","blue-20","red-3","risky","safe","1438","bandit-task","30","479625","0.0-3.0-0.23","90","high"
"25","risky","35","blue-50","red-157","risky","safe","1750","bandit-task","31","484065","0.0-3.0-0.24","90","high"
"26","safe","50","blue-143","red-180","risky","safe","1734","bandit-task","32","488577","0.0-3.0-0.25","90","high"
"27","risky","69","blue-161","red-174","risky","safe","1446","bandit-task","33","492425","0.0-3.0-0.26","90","high"
"28","safe","50","blue-67","red-163","risky","safe","2814","bandit-task","34","497633","0.0-3.0-0.27","90","high"
"29","risky","80","blue-106","red-123","risky","safe","1350","bandit-task","35","501801","0.0-3.0-0.28","90","high"
"30","safe","49","blue-74","red-116","risky","safe","2030","bandit-task","36","506329","0.0-3.0-0.29","90","high"
"31","safe","50","blue-120","red-164","risky","safe","2070","bandit-task","37","511137","0.0-3.0-0.30","90","high"
"32","risky","38","blue-155","red-159","risky","safe","1382","bandit-task","38","514945","0.0-3.0-0.31","90","high"
"33","safe","50","blue-86","red-45","risky","safe","1590","bandit-task","39","519113","0.0-3.0-0.32","90","high"
"34","safe","49","blue-32","red-44","risky","safe","1086","bandit-task","40","522641","0.0-3.0-0.33","90","high"
"35","risky","83","blue-182","red-190","risky","safe","4663","bandit-task","41","530546","0.0-3.0-0.34","90","high"
"36","risky","26","blue-25","red-170","risky","safe","1870","bandit-task","42","535514","0.0-3.0-0.35","90","high"
"37","safe","49","blue-212","red-26","risky","safe","1238","bandit-task","43","540170","0.0-3.0-0.36","90","high"
"38","risky","72","blue-21","red-121","risky","safe","1166","bandit-task","44","544426","0.0-3.0-0.37","90","high"
"39","safe","50","blue-117","red-104","risky","safe","2326","bandit-task","45","549194","0.0-3.0-0.38","90","high"
"40","risky","41","blue-126","red-147","risky","safe","1118","bandit-task","46","552754","0.0-3.0-0.39","90","high"
"41","risky","64","blue-55","red-73","risky","safe","982","bandit-task","47","556202","0.0-3.0-0.40","90","high"
"42","safe","50","blue-85","red-46","risky","safe","2285","bandit-task","48","560970","0.0-3.0-0.41","90","high"
"43","risky","26","blue-5","red-59","risky","safe","2574","bandit-task","49","566050","0.0-3.0-0.42","90","high"
"44","risky","63","blue-34","red-92","risky","safe","1126","bandit-task","50","569674","0.0-3.0-0.43","90","high"
"45","risky","70","blue-133","red-12","risky","safe","1366","bandit-task","51","573594","0.0-3.0-0.44","90","high"
"46","risky","60","blue-187","red-186","risky","safe","598","bandit-task","52","576570","0.0-3.0-0.45","90","high"
"47","risky","29","blue-162","red-196","risky","safe","598","bandit-task","53","579962","0.0-3.0-0.46","90","high"
"48","risky","39","blue-141","red-42","risky","safe","710","bandit-task","54","583194","0.0-3.0-0.47","90","high"
"49","safe","50","blue-78","red-137","risky","safe","1198","bandit-task","55","586906","0.0-3.0-0.48","90","high"
"50","risky","22","blue-91","red-175","risky","safe","780","bandit-task","56","590543","0.0-3.0-0.49","90","high"
"51","safe","50","blue-138","red-185","risky","safe","1023","bandit-task","57","594319","0.0-3.0-0.50","90","high"
"52","risky","18","blue-132","red-156","risky","safe","2102","bandit-task","58","599207","0.0-3.0-0.51","90","high"
"53","safe","50","blue-33","red-203","risky","safe","1046","bandit-task","59","603063","0.0-3.0-0.52","90","high"
"54","risky","22","blue-87","red-56","risky","safe","2423","bandit-task","60","607999","0.0-3.0-0.53","90","high"
"55","risky","12","blue-160","red-158","risky","safe","1238","bandit-task","61","611735","0.0-3.0-0.54","90","high"
"56","risky","40","blue-214","red-68","risky","safe","2566","bandit-task","62","616743","0.0-3.0-0.55","90","high"
"57","risky","52","blue-99","red-81","risky","safe","1566","bandit-task","63","620935","0.0-3.0-0.56","90","high"
"58","risky","35","blue-88","red-90","risky","safe","4054","bandit-task","64","627607","0.0-3.0-0.57","90","high"
"59","risky","64","blue-184","red-77","risky","safe","1149","bandit-task","65","631151","0.0-3.0-0.58","90","high"
"60","safe","48","blue-75","red-38","risky","safe","1134","bandit-task","66","634807","0.0-3.0-0.59","90","high"
"61","safe","50","blue-72","red-183","risky","safe","2445","bandit-task","67","639807","0.0-3.0-0.60","90","high"
"62","risky","58","blue-198","red-61","risky","safe","957","bandit-task","68","643271","0.0-3.0-0.61","90","high"
"63","risky","70","blue-217","red-79","risky","safe","1702","bandit-task","69","647650","0.0-3.0-0.62","90","high"
"64","risky","26","blue-125","red-100","risky","safe","894","bandit-task","70","651234","0.0-3.0-0.63","90","high"
"65","risky","71","blue-179","red-17","risky","safe","2638","bandit-task","71","657561","0.0-3.0-0.64","90","high"
"66","safe","51","blue-178","red-134","risky","safe","7038","bandit-task","72","667905","0.0-3.0-0.65","90","high"
"67","risky","58","blue-201","red-71","risky","safe","854","bandit-task","73","671225","0.0-3.0-0.66","90","high"
"68","safe","51","blue-4","red-8","risky","safe","1814","bandit-task","74","676010","0.0-3.0-0.67","90","high"
"69","risky","80","blue-60","red-177","risky","safe","646","bandit-task","75","680777","0.0-3.0-0.68","90","high"
"70","risky","64","blue-30","red-112","risky","safe","1110","bandit-task","76","684682","0.0-3.0-0.69","90","high"
"71","safe","51","blue-154","red-173","risky","safe","750","bandit-task","77","687881","0.0-3.0-0.70","90","high"
"72","risky","52","blue-128","red-52","risky","safe","774","bandit-task","78","691225","0.0-3.0-0.71","90","high"
"73","risky","22","blue-168","red-37","risky","safe","1422","bandit-task","79","695481","0.0-3.0-0.72","90","high"
"74","safe","51","blue-16","red-35","risky","safe","885","bandit-task","80","699601","0.0-3.0-0.73","90","high"
"75","risky","28","blue-7","red-219","risky","safe","1581","bandit-task","81","704770","0.0-3.0-0.74","90","high"
"76","risky","36","blue-63","red-142","risky","safe","1685","bandit-task","82","709322","0.0-3.0-0.75","90","high"
"77","safe","50","blue-122","red-221","risky","safe","1142","bandit-task","83","714242","0.0-3.0-0.76","90","high"
"78","risky","45","blue-144","red-200","risky","safe","1366","bandit-task","84","718130","0.0-3.0-0.77","90","high"
"79","risky","19","blue-29","red-146","risky","safe","1614","bandit-task","85","722338","0.0-3.0-0.78","90","high"
"80","safe","49","blue-22","red-172","risky","safe","1238","bandit-task","86","726002","0.0-3.0-0.79","90","high"
"81","risky","56","blue-41","red-14","risky","safe","902","bandit-task","87","729306","0.0-3.0-0.80","90","high"
"82","safe","51","blue-220","red-89","risky","safe","1126","bandit-task","88","732818","0.0-3.0-0.81","90","high"
