"trial","choice","feedback","left_stimulus","right_stimulus","left_option","right_option","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"1","risky","28","blue-154","red-96","risky","safe","10623","bandit-task","16","456025","0.0-3.0-0.0","7","high"
"2","safe","49","blue-199","red-189","risky","safe","3118","bandit-task","17","462097","0.0-3.0-0.1","7","high"
"3","safe","50","blue-2","red-40","risky","safe","4584","bandit-task","18","469562","0.0-3.0-0.2","7","high"
"4","safe","51","blue-118","red-151","risky","safe","4087","bandit-task","19","476394","0.0-3.0-0.3","7","high"
"5","safe","51","blue-101","red-140","risky","safe","3359","bandit-task","20","482586","0.0-3.0-0.4","7","high"
"6","risky","34","blue-178","red-170","risky","safe","3646","bandit-task","21","489114","0.0-3.0-0.5","7","high"
"7","safe","52","blue-175","red-128","risky","safe","3189","bandit-task","22","495426","0.0-3.0-0.6","7","high"
"8","safe","50","blue-107","red-12","risky","safe","2358","bandit-task","23","500522","0.0-3.0-0.7","7","high"
"9","safe","50","blue-35","red-120","risky","safe","1582","bandit-task","24","504898","0.0-3.0-0.8","7","high"
"10","safe","50","blue-168","red-67","risky","safe","1294","bandit-task","25","509066","0.0-3.0-0.9","7","high"
"11","safe","50","blue-220","red-20","risky","safe","1542","bandit-task","26","513314","0.0-3.0-0.10","7","high"
"12","risky","21","blue-32","red-81","risky","safe","8718","bandit-task","27","524754","0.0-3.0-0.11","7","high"
"13","safe","50","blue-37","red-211","risky","safe","1590","bandit-task","28","529070","0.0-3.0-0.12","7","high"
"14","safe","49","blue-34","red-110","risky","safe","1062","bandit-task","29","532886","0.0-3.0-0.13","7","high"
"15","safe","49","blue-180","red-39","risky","safe","1791","bandit-task","30","537358","0.0-3.0-0.14","7","high"
"16","safe","49","blue-16","red-171","risky","safe","950","bandit-task","31","541070","0.0-3.0-0.15","7","high"
"17","safe","48","blue-5","red-52","risky","safe","1511","bandit-task","32","545462","0.0-3.0-0.16","7","high"
"18","safe","50","blue-127","red-56","risky","safe","1862","bandit-task","33","550237","0.0-3.0-0.17","7","high"
"19","safe","50","blue-156","red-165","risky","safe","974","bandit-task","34","553989","0.0-3.0-0.18","7","high"
"20","safe","51","blue-30","red-200","risky","safe","998","bandit-task","35","557661","0.0-3.0-0.19","7","high"
"21","safe","50","blue-75","red-114","risky","safe","911","bandit-task","36","561277","0.0-3.0-0.20","7","high"
"22","safe","50","blue-1","red-142","risky","safe","999","bandit-task","37","564949","0.0-3.0-0.21","7","high"
"23","safe","52","blue-25","red-9","risky","safe","1078","bandit-task","38","568813","0.0-3.0-0.22","7","high"
"24","safe","50","blue-216","red-99","risky","safe","1039","bandit-task","39","572349","0.0-3.0-0.23","7","high"
"25","safe","51","blue-76","red-155","risky","safe","919","bandit-task","40","575853","0.0-3.0-0.24","7","high"
"26","safe","51","blue-126","red-44","risky","safe","967","bandit-task","41","579605","0.0-3.0-0.25","7","high"
"27","safe","49","blue-158","red-68","risky","safe","766","bandit-task","42","583381","0.0-3.0-0.26","7","high"
"28","safe","50","blue-104","red-214","risky","safe","815","bandit-task","43","586749","0.0-3.0-0.27","7","high"
"29","safe","52","blue-212","red-89","risky","safe","711","bandit-task","44","590140","0.0-3.0-0.28","7","high"
"30","safe","48","blue-61","red-146","risky","safe","773","bandit-task","45","593716","0.0-3.0-0.29","7","high"
"31","safe","52","blue-190","red-130","risky","safe","774","bandit-task","46","597212","0.0-3.0-0.30","7","high"
"32","safe","51","blue-116","red-66","risky","safe","886","bandit-task","47","602332","0.0-3.0-0.31","7","high"
"33","safe","51","blue-115","red-95","risky","safe","1422","bandit-task","48","606284","0.0-3.0-0.32","7","high"
"34","safe","52","blue-182","red-137","risky","safe","997","bandit-task","49","610324","0.0-3.0-0.33","7","high"
"35","safe","49","blue-213","red-91","risky","safe","862","bandit-task","50","613828","0.0-3.0-0.34","7","high"
"36","safe","48","blue-173","red-161","risky","safe","926","bandit-task","51","617716","0.0-3.0-0.35","7","high"
