"trial","choice","feedback","left_stimulus","right_stimulus","left_option","right_option","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"1","risky","85","blue-202","red-61","risky","safe","1389","bandit-task","7","175679","0.0-3.0-0.0","118","high"
"2","safe","50","blue-190","red-156","risky","safe","838","bandit-task","8","178799","0.0-3.0-0.1","118","high"
"3","safe","49","blue-39","red-186","risky","safe","654","bandit-task","9","181703","0.0-3.0-0.2","118","high"
"4","risky","76","blue-102","red-182","risky","safe","534","bandit-task","10","184423","0.0-3.0-0.3","118","high"
"5","risky","35","blue-80","red-15","risky","safe","494","bandit-task","11","187175","0.0-3.0-0.4","118","high"
"6","risky","70","blue-163","red-165","risky","safe","1070","bandit-task","12","190535","0.0-3.0-0.5","118","high"
"7","risky","68","blue-67","red-170","risky","safe","542","bandit-task","13","193351","0.0-3.0-0.6","118","high"
"8","safe","49","blue-107","red-49","risky","safe","454","bandit-task","14","196079","0.0-3.0-0.7","118","high"
"9","risky","85","blue-149","red-51","risky","safe","365","bandit-task","15","198751","0.0-3.0-0.8","118","high"
"10","risky","29","blue-198","red-111","risky","safe","526","bandit-task","16","201479","0.0-3.0-0.9","118","high"
"11","safe","50","blue-168","red-200","risky","safe","486","bandit-task","17","204087","0.0-3.0-0.10","118","high"
"12","risky","46","blue-157","red-1","risky","safe","390","bandit-task","18","206766","0.0-3.0-0.11","118","high"
"13","risky","14","blue-34","red-155","risky","safe","495","bandit-task","19","210311","0.0-3.0-0.12","118","high"
"14","risky","81","blue-195","red-9","risky","safe","470","bandit-task","20","213286","0.0-3.0-0.13","118","high"
"15","safe","50","blue-10","red-162","risky","safe","414","bandit-task","21","215974","0.0-3.0-0.14","118","high"
"16","risky","42","blue-151","red-104","risky","safe","438","bandit-task","22","218678","0.0-3.0-0.15","118","high"
"17","safe","50","blue-5","red-139","risky","safe","406","bandit-task","23","221262","0.0-3.0-0.16","118","high"
"18","risky","88","blue-203","red-93","risky","safe","438","bandit-task","24","223990","0.0-3.0-0.17","118","high"
"19","risky","78","blue-197","red-120","risky","safe","846","bandit-task","25","227158","0.0-3.0-0.18","118","high"
"20","safe","49","blue-214","red-189","risky","safe","469","bandit-task","26","229902","0.0-3.0-0.19","118","high"
"21","risky","63","blue-175","red-201","risky","safe","438","bandit-task","27","232598","0.0-3.0-0.20","118","high"
"22","risky","60","blue-176","red-90","risky","safe","470","bandit-task","28","235310","0.0-3.0-0.21","118","high"
"23","safe","50","blue-153","red-66","risky","safe","437","bandit-task","29","239230","0.0-3.0-0.22","118","high"
"24","risky","73","blue-133","red-32","risky","safe","422","bandit-task","30","241878","0.0-3.0-0.23","118","high"
"25","safe","49","blue-137","red-160","risky","safe","501","bandit-task","31","244758","0.0-3.0-0.24","118","high"
"26","risky","70","blue-62","red-106","risky","safe","390","bandit-task","32","247910","0.0-3.0-0.25","118","high"
"27","risky","44","blue-131","red-52","risky","safe","350","bandit-task","33","250558","0.0-3.0-0.26","118","high"
"28","safe","51","blue-99","red-19","risky","safe","422","bandit-task","34","253366","0.0-3.0-0.27","118","high"
"29","risky","30","blue-193","red-125","risky","safe","590","bandit-task","35","256542","0.0-3.0-0.28","118","high"
