trial,choice,feedback,left_stimulus,right_stimulus,left_option,right_option,rt,trial_type,trial_index,time_elapsed,internal_node_id,participant,condition
1,safe,48,blue-158,red-193,risky,safe,1958,bandit-task,4,91255,0.0-3.0-0.0,21,low
2,risky,67,blue-158,red-193,risky,safe,1070,bandit-task,5,95254,0.0-3.0-0.1,21,low
3,safe,50,blue-158,red-193,risky,safe,727,bandit-task,6,98702,0.0-3.0-0.2,21,low
4,safe,49,blue-158,red-193,risky,safe,1022,bandit-task,7,102310,0.0-3.0-0.3,21,low
5,risky,33,blue-158,red-193,risky,safe,591,bandit-task,8,105415,0.0-3.0-0.4,21,low
6,risky,24,blue-158,red-193,risky,safe,574,bandit-task,9,108534,0.0-3.0-0.5,21,low
7,risky,85,blue-158,red-193,risky,safe,743,bandit-task,10,112078,0.0-3.0-0.6,21,low
8,safe,53,blue-158,red-193,risky,safe,1263,bandit-task,11,116014,0.0-3.0-0.7,21,low
9,safe,49,blue-158,red-193,risky,safe,530,bandit-task,12,119074,0.0-3.0-0.8,21,low
10,risky,30,blue-158,red-193,risky,safe,542,bandit-task,13,122250,0.0-3.0-0.9,21,low
11,risky,66,blue-158,red-193,risky,safe,710,bandit-task,14,125586,0.0-3.0-0.10,21,low
12,safe,51,blue-158,red-193,risky,safe,494,bandit-task,15,128417,0.0-3.0-0.11,21,low
13,safe,48,blue-158,red-193,risky,safe,623,bandit-task,16,131562,0.0-3.0-0.12,21,low
14,risky,49,blue-158,red-193,risky,safe,471,bandit-task,17,134586,0.0-3.0-0.13,21,low
15,safe,49,blue-158,red-193,risky,safe,430,bandit-task,18,137409,0.0-3.0-0.14,21,low
16,safe,50,blue-158,red-193,risky,safe,767,bandit-task,19,140881,0.0-3.0-0.15,21,low
17,safe,50,blue-158,red-193,risky,safe,462,bandit-task,20,143713,0.0-3.0-0.16,21,low
18,risky,21,blue-158,red-193,risky,safe,583,bandit-task,21,146777,0.0-3.0-0.17,21,low
19,safe,50,blue-158,red-193,risky,safe,438,bandit-task,22,149865,0.0-3.0-0.18,21,low
20,safe,52,blue-158,red-193,risky,safe,422,bandit-task,23,153281,0.0-3.0-0.19,21,low
21,safe,50,blue-158,red-193,risky,safe,447,bandit-task,24,156314,0.0-3.0-0.20,21,low
22,safe,49,blue-158,red-193,risky,safe,429,bandit-task,25,159185,0.0-3.0-0.21,21,low
23,risky,20,blue-158,red-193,risky,safe,422,bandit-task,26,162193,0.0-3.0-0.22,21,low
24,risky,68,blue-158,red-193,risky,safe,486,bandit-task,27,165201,0.0-3.0-0.23,21,low
25,risky,32,blue-158,red-193,risky,safe,439,bandit-task,28,168057,0.0-3.0-0.24,21,low
26,safe,49,blue-158,red-193,risky,safe,517,bandit-task,29,170905,0.0-3.0-0.25,21,low
27,safe,50,blue-158,red-193,risky,safe,718,bandit-task,30,174049,0.0-3.0-0.26,21,low
28,safe,50,blue-158,red-193,risky,safe,630,bandit-task,31,177376,0.0-3.0-0.27,21,low
29,risky,17,blue-158,red-193,risky,safe,447,bandit-task,32,180305,0.0-3.0-0.28,21,low
30,safe,49,blue-158,red-193,risky,safe,414,bandit-task,33,183209,0.0-3.0-0.29,21,low
31,risky,79,blue-158,red-193,risky,safe,599,bandit-task,34,186472,0.0-3.0-0.30,21,low
