"trial","choice","feedback","left_stimulus","right_stimulus","left_option","right_option","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"1","risky","65","red-193","blue-9","safe","risky","2181","bandit-task","10","432457","0.0-3.0-0.0","42","low"
"2","safe","50","red-193","blue-9","safe","risky","1486","bandit-task","11","436505","0.0-3.0-0.1","42","low"
"3","risky","59","red-193","blue-9","safe","risky","1238","bandit-task","12","440545","0.0-3.0-0.2","42","low"
"4","risky","80","red-193","blue-9","safe","risky","1334","bandit-task","13","444353","0.0-3.0-0.3","42","low"
"5","risky","33","red-193","blue-9","safe","risky","998","bandit-task","14","447985","0.0-3.0-0.4","42","low"
"6","safe","51","red-193","blue-9","safe","risky","1494","bandit-task","15","452265","0.0-3.0-0.5","42","low"
"7","risky","82","red-193","blue-9","safe","risky","1222","bandit-task","16","456089","0.0-3.0-0.6","42","low"
"8","risky","39","red-193","blue-9","safe","risky","3022","bandit-task","17","461521","0.0-3.0-0.7","42","low"
"9","safe","50","red-193","blue-9","safe","risky","1310","bandit-task","18","465393","0.0-3.0-0.8","42","low"
"10","risky","68","red-193","blue-9","safe","risky","2399","bandit-task","19","470281","0.0-3.0-0.9","42","low"
"11","risky","66","red-193","blue-9","safe","risky","2534","bandit-task","20","475393","0.0-3.0-0.10","42","low"
"12","risky","38","red-193","blue-9","safe","risky","574","bandit-task","21","478457","0.0-3.0-0.11","42","low"
"13","risky","41","red-193","blue-9","safe","risky","766","bandit-task","22","481665","0.0-3.0-0.12","42","low"
"14","risky","13","red-193","blue-9","safe","risky","638","bandit-task","23","484761","0.0-3.0-0.13","42","low"
"15","risky","50","red-193","blue-9","safe","risky","558","bandit-task","24","487705","0.0-3.0-0.14","42","low"
"16","risky","13","red-193","blue-9","safe","risky","838","bandit-task","25","491113","0.0-3.0-0.15","42","low"
"17","safe","50","red-193","blue-9","safe","risky","1182","bandit-task","26","494831","0.0-3.0-0.16","42","low"
"18","safe","48","red-193","blue-9","safe","risky","598","bandit-task","27","498079","0.0-3.0-0.17","42","low"
"19","safe","50","red-193","blue-9","safe","risky","629","bandit-task","28","501167","0.0-3.0-0.18","42","low"
"20","risky","74","red-193","blue-9","safe","risky","974","bandit-task","29","505023","0.0-3.0-0.19","42","low"
"21","safe","53","red-193","blue-9","safe","risky","2270","bandit-task","30","509727","0.0-3.0-0.20","42","low"
"22","risky","35","red-193","blue-9","safe","risky","606","bandit-task","31","512959","0.0-3.0-0.21","42","low"
"23","safe","50","red-193","blue-9","safe","risky","806","bandit-task","32","516479","0.0-3.0-0.22","42","low"
"24","safe","51","red-193","blue-9","safe","risky","590","bandit-task","33","519471","0.0-3.0-0.23","42","low"
"25","safe","50","red-193","blue-9","safe","risky","551","bandit-task","34","522751","0.0-3.0-0.24","42","low"
"26","safe","50","red-193","blue-9","safe","risky","1358","bandit-task","35","526543","0.0-3.0-0.25","42","low"
"27","risky","27","red-193","blue-9","safe","risky","887","bandit-task","36","529943","0.0-3.0-0.26","42","low"
"28","safe","50","red-193","blue-9","safe","risky","1038","bandit-task","37","533447","0.0-3.0-0.27","42","low"
"29","safe","50","red-193","blue-9","safe","risky","647","bandit-task","38","536559","0.0-3.0-0.28","42","low"
"30","safe","49","red-193","blue-9","safe","risky","950","bandit-task","39","539943","0.0-3.0-0.29","42","low"
"31","safe","50","red-193","blue-9","safe","risky","999","bandit-task","40","543623","0.0-3.0-0.30","42","low"
