trial,choice,feedback,left_stimulus,right_stimulus,left_option,right_option,rt,trial_type,trial_index,time_elapsed,internal_node_id,participant,condition
1,safe,49,red-50,blue-175,risky,safe,4295,bandit-task,4,454280,0.0-3.0-0.0,120,high
2,safe,49,red-53,blue-13,risky,safe,4822,bandit-task,5,462215,0.0-3.0-0.1,120,high
3,safe,50,red-71,blue-145,risky,safe,4742,bandit-task,6,469951,0.0-3.0-0.2,120,high
4,risky,75,red-153,blue-78,risky,safe,2055,bandit-task,7,474783,0.0-3.0-0.3,120,high
5,risky,40,red-92,blue-118,risky,safe,1685,bandit-task,8,482431,0.0-3.0-0.4,120,high
6,risky,34,red-190,blue-104,risky,safe,7862,bandit-task,9,493471,0.0-3.0-0.5,120,high
7,safe,47,red-89,blue-180,risky,safe,1093,bandit-task,10,497703,0.0-3.0-0.6,120,high
8,safe,50,red-70,blue-194,risky,safe,2118,bandit-task,11,502830,0.0-3.0-0.7,120,high
9,risky,72,red-96,blue-8,risky,safe,2543,bandit-task,12,508958,0.0-3.0-0.8,120,high
10,risky,59,red-134,blue-74,risky,safe,2287,bandit-task,13,514326,0.0-3.0-0.9,120,high
11,risky,83,red-76,blue-216,risky,safe,2230,bandit-task,14,520718,0.0-3.0-0.10,120,high
12,risky,61,red-93,blue-42,risky,safe,1301,bandit-task,15,524998,0.0-3.0-0.11,120,high
13,safe,51,red-148,blue-142,risky,safe,3045,bandit-task,16,531238,0.0-3.0-0.12,120,high
14,risky,50,red-115,blue-48,risky,safe,3566,bandit-task,17,537846,0.0-3.0-0.13,120,high
15,safe,50,red-52,blue-25,risky,safe,3790,bandit-task,18,544702,0.0-3.0-0.14,120,high
16,safe,52,red-146,blue-195,risky,safe,2502,bandit-task,19,550070,0.0-3.0-0.15,120,high
17,risky,75,red-120,blue-64,risky,safe,3486,bandit-task,20,556574,0.0-3.0-0.16,120,high
18,risky,23,red-126,blue-1,risky,safe,1342,bandit-task,21,560785,0.0-3.0-0.17,120,high
19,safe,50,red-164,blue-44,risky,safe,2518,bandit-task,22,566209,0.0-3.0-0.18,120,high
20,safe,50,red-171,blue-4,risky,safe,3549,bandit-task,23,572705,0.0-3.0-0.19,120,high
21,safe,50,red-128,blue-162,risky,safe,2861,bandit-task,24,578585,0.0-3.0-0.20,120,high
22,safe,49,red-160,blue-184,risky,safe,2190,bandit-task,25,583817,0.0-3.0-0.21,120,high
23,safe,50,red-101,blue-201,risky,safe,1734,bandit-task,26,588169,0.0-3.0-0.22,120,high
24,safe,49,red-90,blue-17,risky,safe,2206,bandit-task,27,593169,0.0-3.0-0.23,120,high
25,risky,75,red-51,blue-191,risky,safe,2238,bandit-task,28,598313,0.0-3.0-0.24,120,high
26,risky,75,red-217,blue-156,risky,safe,1382,bandit-task,29,602209,0.0-3.0-0.25,120,high
27,safe,49,red-211,blue-155,risky,safe,1590,bandit-task,30,606473,0.0-3.0-0.26,120,high
28,safe,48,red-140,blue-127,risky,safe,1254,bandit-task,31,610177,0.0-3.0-0.27,120,high
29,safe,48,red-3,blue-21,risky,safe,2038,bandit-task,32,614833,0.0-3.0-0.28,120,high
30,safe,50,red-170,blue-174,risky,safe,2206,bandit-task,33,619449,0.0-3.0-0.29,120,high
31,risky,67,red-59,blue-219,risky,safe,942,bandit-task,34,622879,0.0-3.0-0.30,120,high
32,risky,27,red-166,blue-15,risky,safe,2374,bandit-task,35,627871,0.0-3.0-0.31,120,high
33,safe,48,red-182,blue-154,risky,safe,1597,bandit-task,36,631839,0.0-3.0-0.32,120,high
34,safe,49,red-6,blue-80,risky,safe,1166,bandit-task,37,635383,0.0-3.0-0.33,120,high
35,safe,49,red-55,blue-19,risky,safe,2198,bandit-task,38,639950,0.0-3.0-0.34,120,high
36,safe,49,red-177,blue-150,risky,safe,1918,bandit-task,39,644199,0.0-3.0-0.35,120,high
