"rt","Q0","Q1","Q2","Q3","Q4","set","risky","colour","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"38798","5","6","6","2","1","A","risky","red","survey-likert","114","403988","0.0-5.0-0.0","32","low"
"30043","1","0","1","1","1","B","risky","red","survey-likert","115","434034","0.0-5.0-1.0","32","low"
"21773","4","2","4","4","2","A","safe","blue","survey-likert","116","455809","0.0-5.0-0.1","32","low"
"15917","4","2","2","2","2","B","safe","blue","survey-likert","117","471728","0.0-5.0-1.1","32","low"
