"rt","Q0","Q1","Q2","Q3","Q4","set","risky","colour","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"38276","2","2","3","2","2","A","safe","red","survey-likert","114","486550","0.0-5.0-0.0","64","low"
"30371","2","4","4","5","5","B","safe","red","survey-likert","115","516924","0.0-5.0-1.0","64","low"
"16229","5","5","4","1","3","A","risky","blue","survey-likert","116","533156","0.0-5.0-0.1","64","low"
"32872","1","2","1","5","2","B","risky","blue","survey-likert","117","566030","0.0-5.0-1.1","64","low"
