"rt","Q0","Q1","Q2","Q3","Q4","set","risky","colour","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"46478","4","4","6","4","2","A","safe","red","survey-likert","114","536076","0.0-5.0-0.0","106","high"
"71350","0","6","0","0","0","B","safe","red","survey-likert","115","607429","0.0-5.0-1.0","106","high"
"29924","6","6","6","2","1","A","risky","blue","survey-likert","116","637356","0.0-5.0-0.1","106","high"
"14197","0","0","0","0","1","B","risky","blue","survey-likert","117","651555","0.0-5.0-1.1","106","high"
