"rt","Q0","Q1","Q2","Q3","Q4","set","risky","colour","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"35217","1","1","1","5","4","A","risky","red","survey-likert","114","545843","0.0-5.0-0.0","116","high"
"19390","4","4","4","3","3","B","risky","red","survey-likert","115","565235","0.0-5.0-1.0","116","high"
"31363","6","6","6","6","6","A","safe","blue","survey-likert","116","596600","0.0-5.0-0.1","116","high"
"26743","3","3","4","3","3","B","safe","blue","survey-likert","117","623346","0.0-5.0-1.1","116","high"
