"rt","Q0","Q1","Q2","Q3","Q4","set","risky","colour","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"36526","2","1","1","1","5","A","safe","blue","survey-likert","114","413520","0.0-5.0-0.0","36","low"
"34639","5","1","6","1","5","B","safe","blue","survey-likert","115","448161","0.0-5.0-1.0","36","low"
"18261","6","5","5","5","1","A","risky","red","survey-likert","116","466425","0.0-5.0-0.1","36","low"
"25823","2","1","2","1","1","B","risky","red","survey-likert","117","492250","0.0-5.0-1.1","36","low"
