"rt","responses","task","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition","prize"
"99614","{""Q0"":""19"",""Q1"":""Female""}","demographics","survey-text","0","99616","0.0-0.0","70","low",""
"43512","{""Q0"":""no strategies involved, just took more risk than I would in real life when choosing mystery box""}","comments","survey-text","121","749889","0.0-7.0","70","low","6.6"
