"rt","responses","task","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition","prize"
"126302","{""Q0"":""19"",""Q1"":""male""}","demographics","survey-text","0","126308","0.0-0.0","60","low",""
"108942","{""Q0"":""I perform differently than i would do in a real life situation. In the game  i took risk for example selecting the unknown box in one occasion or choosing the red ball at the start even though i had a much safer option. ""}","comments","survey-text","118","1094248","0.0-7.0","60","low","6"
