"rt","responses","task","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition","prize"
"129723","{""Q0"":""18"",""Q1"":""F""}","demographics","survey-text","0","129726","0.0-0.0","101","high",""
"116852","{""Q0"":""i definitely preferred the safe 50/50 choice but throughout my though process I did want to take a risk and choose the unknown box, in case it favoured the orange balls. The 30/70 box seemed like a big risk so I chose to risk the unknown box but the 40/60 box was closer to 50/50 which convinced me to choose the pre-determined box again""}","comments","survey-text","118","880110","0.0-7.0","101","high","2.8"
