"rt","responses","task","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition","prize"
"11171","{""Q0"":""19"",""Q1"":""Female""}","demographics","survey-text","0","11174","0.0-0.0","5","high",""
"109129","{""Q0"":""Strategy: pick the more textured ball or the one that looks more quirky if they're both equally textured. Second activity- take the most logical one whilst still being able to take risks (they're fun!) \nNo technical issues and instructions are clear. \nThank you for your time! :)""}","comments","survey-text","121","726863","0.0-7.0","5","high","7.9"
