"rt","stimulus","Q0","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","questions","risky","colour","side","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"70490","red-130","2","4","4","2","4","4","2","4","4","4","6,7,8,2,5,9,4,3,0,1","risky","red","right","survey-likert","107","1563086","0.0-106.0-0.0","21496","low"
"37916","blue-37","4","4","4","2","4","4","2","4","4","3","6,7,8,2,5,9,4,3,0,1","safe","blue","left","survey-likert","108","1602208","0.0-106.0-0.1","21496","low"
