"rt","stimulus","Q0","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","questions","risky","colour","side","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"59168","red-182","0","0","5","1","4","0","5","5","2","3","9,8,1,5,3,7,2,0,6,4","risky","red","left","survey-likert","107","923089","0.0-106.0-0.0","20591","high"
"49248","blue-94","0","1","5","2","4","0","5","5","1","2","9,8,1,5,3,7,2,0,6,4","safe","blue","right","survey-likert","108","973551","0.0-106.0-0.1","20591","high"
