"rt","stimulus","Q0","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","questions","risky","colour","side","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"25272","red-6","4","2","3","4","2","4","3","3","4","4","5,6,8,0,3,4,1,9,7,2","safe","red","right","survey-likert","113","866127","0.0-106.0-0.0","21488","high"
"23949","blue-20","3","4","2","4","1","1","2","1","2","1","5,6,8,0,3,4,1,9,7,2","risky","blue","left","survey-likert","114","891283","0.0-106.0-0.1","21488","high"
