"rt","stimulus","Q0","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","questions","risky","colour","side","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"54899","red-10","0","3","5","6","6","4","4","4","5","5","4,7,6,1,5,8,9,3,0,2","safe","red","right","survey-likert","107","633402","0.0-106.0-0.0","21606","high"
"24048","blue-26","0","3","4","6","6","4","5","5","5","5","4,7,6,1,5,8,9,3,0,2","risky","blue","left","survey-likert","108","658673","0.0-106.0-0.1","21606","high"
