"rt","stimulus","Q0","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","questions","risky","colour","side","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"90076","red-151","2","2","4","4","3","4","4","2","3","2","8,6,5,1,2,9,4,3,0,7","safe","red","left","survey-likert","107","819767","0.0-106.0-0.0","20777","high"
"37618","blue-197","2","4","3","3","2","4","4","2","4","2","8,6,5,1,2,9,4,3,0,7","risky","blue","right","survey-likert","108","858600","0.0-106.0-0.1","20777","high"
