"rt","stimulus","Q0","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","questions","risky","colour","side","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"62498","blue-11","4","2","1","5","0","4","2","5","6","3","4,8,6,0,7,2,5,9,3,1","safe","blue","left","survey-likert","107","659697","0.0-106.0-0.0","20354","low"
"34096","red-94","3","2","1","5","1","4","2","4","6","3","4,8,6,0,7,2,5,9,3,1","risky","red","right","survey-likert","108","695002","0.0-106.0-0.1","20354","low"
