"rt","stimulus","Q0","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","questions","risky","colour","side","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"112342","red-38","3","3","4","4","4","4","3","2","4","5","3,0,1,2,6,9,5,7,4,8","safe","red","right","survey-likert","107","1483278","0.0-106.0-0.0","20614","high"
"27239","blue-49","3","3","3","3","3","3","3","3","3","3","3,0,1,2,6,9,5,7,4,8","risky","blue","left","survey-likert","108","1511730","0.0-106.0-0.1","20614","high"
