"rt","stimulus","Q0","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","questions","risky","colour","side","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"60510","red-118","5","2","5","5","5","4","2","5","6","2","5,1,7,3,8,4,0,9,6,2","safe","red","left","survey-likert","107","1324484","0.0-106.0-0.0","20802","low"
"51616","blue-114","2","5","3","6","4","1","6","2","3","5","5,1,7,3,8,4,0,9,6,2","risky","blue","right","survey-likert","108","1377308","0.0-106.0-0.1","20802","low"
