"rt","stimulus","Q0","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","questions","risky","colour","side","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"61374","red-132","4","4","4","4","5","4","3","4","2","3","5,4,0,1,9,3,8,6,2,7","safe","red","right","survey-likert","110","911995","0.0-106.0-0.0","21544","low"
"29056","blue-83","4","4","3","4","4","4","4","4","4","4","5,4,0,1,9,3,8,6,2,7","risky","blue","left","survey-likert","111","942262","0.0-106.0-0.1","21544","low"
