"rt","stimulus","Q0","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","questions","risky","colour","side","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"263236","blue-137","5","2","3","4","3","2","4","4","4","2","0,8,3,2,5,6,9,4,1,7","safe","blue","left","survey-likert","107","1508001","0.0-106.0-0.0","20540","high"
"81591","red-169","3","3","3","3","3","3","3","3","3","1","0,8,3,2,5,6,9,4,1,7","risky","red","right","survey-likert","108","1590799","0.0-106.0-0.1","20540","high"
