"rt","stimulus","Q0","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","questions","risky","colour","side","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"79535","red-190","5","5","3","4","2","2","4","5","4","3","3,9,1,4,2,0,5,6,8,7","risky","red","left","survey-likert","107","857577","0.0-106.0-0.0","20334","low"
"49934","blue-44","1","2","0","5","0","0","5","6","2","6","3,9,1,4,2,0,5,6,8,7","safe","blue","right","survey-likert","108","908723","0.0-106.0-0.1","20334","low"
