"round_number","sampling_type","stimulus","stimulus_colour","rt","Q0","Q1","Q2","Q3","questions","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"2","fixed","red-191","red","25142","5","1","5","1","3,1,2,0","survey-likert","27","1179390","0.0-5.0-2.0-0.0","113","ac4msxxn","high"
"3","free","orange-99","orange","17102","4","4","4","4","3,1,2,0","survey-likert","71","1333597","0.0-5.0-2.1-0.1","113","ac4msxxn","high"
"4","fixed","blue-121","blue","15395","4","4","2","4","3,1,2,0","survey-likert","78","1377122","0.0-5.0-2.2-0.2","113","ac4msxxn","high"
"5","free","yellow-97","yellow","15483","2","6","2","5","3,1,2,0","survey-likert","107","1450271","0.0-5.0-2.3-0.3","113","ac4msxxn","high"
"6","fixed","green-9","green","12069","4","3","3","4","3,1,2,0","survey-likert","119","1487079","0.0-5.0-2.4-0.4","113","ac4msxxn","high"
"7","free","purple-166","purple","14334","4","4","1","4","3,1,2,0","survey-likert","155","1553653","0.0-5.0-2.5-0.5","113","ac4msxxn","high"
