"round_number","sampling_type","stimulus","stimulus_colour","rt","Q0","Q1","Q2","Q3","questions","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"2","fixed","purple-103","purple","26140","4","4","5","4","1,3,2,0","survey-likert","27","400299","0.0-5.0-2.0-0.0","50","9e8yt7zo","low"
"3","free","orange-202","orange","22371","4","4","5","6","1,3,2,0","survey-likert","43","461407","0.0-5.0-2.1-0.1","50","9e8yt7zo","low"
"4","fixed","blue-52","blue","15758","4","4","3","4","1,3,2,0","survey-likert","50","496071","0.0-5.0-2.2-0.2","50","9e8yt7zo","low"
"5","free","green-8","green","15999","5","5","5","4","1,3,2,0","survey-likert","99","603690","0.0-5.0-2.3-0.3","50","9e8yt7zo","low"
"6","fixed","yellow-46","yellow","14615","4","5","4","4","1,3,2,0","survey-likert","111","646352","0.0-5.0-2.4-0.4","50","9e8yt7zo","low"
"7","free","red-18","red","25158","6","5","4","6","1,3,2,0","survey-likert","135","719805","0.0-5.0-2.5-0.5","50","9e8yt7zo","low"
