"round_number","sampling_type","stimulus","stimulus_colour","rt","Q0","Q1","Q2","Q3","questions","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"2","fixed","orange-85","orange","30869","0","5","2","5","2,1,3,0","survey-likert","27","315935","0.0-5.0-2.0-0.0","106","g04dcvfx","low"
"3","free","red-164","red","15790","2","4","3","5","2,1,3,0","survey-likert","39","351718","0.0-5.0-2.1-0.1","106","g04dcvfx","low"
"4","fixed","purple-208","purple","13774","3","4","4","5","2,1,3,0","survey-likert","46","376374","0.0-5.0-2.2-0.2","106","g04dcvfx","low"
"5","free","blue-163","blue","17694","3","4","3","4","2,1,3,0","survey-likert","63","415508","0.0-5.0-2.3-0.3","106","g04dcvfx","low"
"6","fixed","green-119","green","14391","2","4","4","5","2,1,3,0","survey-likert","75","448100","0.0-5.0-2.4-0.4","106","g04dcvfx","low"
"7","free","yellow-43","yellow","32646","4","4","5","5","2,1,3,0","survey-likert","89","496716","0.0-5.0-2.5-0.5","106","g04dcvfx","low"
