"round_number","sampling_type","stimulus","stimulus_colour","rt","Q0","Q1","Q2","Q3","questions","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"2","fixed","yellow-159","yellow","37100","5","5","3","2","0,1,3,2","survey-likert","15","637490","0.0-5.0-2.0-0.0","8","1u5e2dga","low"
"3","free","red-156","red","21523","5","5","3","2","0,1,3,2","survey-likert","26","692263","0.0-5.0-2.1-0.1","8","1u5e2dga","low"
"4","fixed","green-125","green","15166","6","5","3","2","0,1,3,2","survey-likert","38","741655","0.0-5.0-2.2-0.2","8","1u5e2dga","low"
"5","free","blue-84","blue","16318","6","5","2","1","0,1,3,2","survey-likert","53","786285","0.0-5.0-2.3-0.3","8","1u5e2dga","low"
"6","fixed","purple-136","purple","18966","6","5","3","2","0,1,3,2","survey-likert","75","840794","0.0-5.0-2.4-0.4","8","1u5e2dga","low"
"7","free","orange-130","orange","13118","6","5","3","2","0,1,3,2","survey-likert","86","876583","0.0-5.0-2.5-0.5","8","1u5e2dga","low"
