"round_number","sampling_type","stimulus","stimulus_colour","rt","Q0","Q1","Q2","Q3","questions","trial_type","trial_index","time_elapsed","internal_node_id","participant","randomID","condition"
"2","fixed","red-11","red","24246","2","4","4","3","3,1,0,2","survey-likert","17","346736","0.0-5.0-2.0-0.0","31","s216bjwf","high"
"3","free","blue-111","blue","16733","3","4","4","2","3,1,0,2","survey-likert","40","441413","0.0-5.0-2.1-0.1","31","s216bjwf","high"
"4","fixed","green-37","green","12678","4","4","4","1","3,1,0,2","survey-likert","47","473621","0.0-5.0-2.2-0.2","31","s216bjwf","high"
"5","free","orange-16","orange","10918","2","3","4","1","3,1,0,2","survey-likert","57","503804","0.0-5.0-2.3-0.3","31","s216bjwf","high"
"6","fixed","purple-137","purple","14094","4","5","5","4","3,1,0,2","survey-likert","79","584418","0.0-5.0-2.4-0.4","31","s216bjwf","high"
"7","free","yellow-99","yellow","12446","5","3","3","4","3,1,0,2","survey-likert","109","657106","0.0-5.0-2.5-0.5","31","s216bjwf","high"
